date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-07-04,2164.65,92351,1082,37.0,2116.23,379.0,2026-07-18
2026-07-05,2155.82,93778,1121,27.0,1671.54,384.0,2026-07-18
2026-07-06,1987.45,93634,1047,39.0,2380.99,458.0,2026-07-18
2026-07-07,2324.12,96627,1146,34.0,2212.0,414.0,2026-07-18
2026-07-08,2249.74,89246,1159,29.0,1755.61,385.0,2026-07-18
2026-07-09,2089.03,85023,1052,39.0,2042.99,360.0,2026-07-18
2026-07-10,1848.63,73342,915,38.0,2241.77,358.0,2026-07-18
2026-07-11,2208.5,94010,1106,27.0,1979.86,370.0,2026-07-18
2026-07-12,2395.22,81895,1240,42.0,2361.45,505.0,2026-07-18
2026-07-13,2369.43,91578,1298,48.0,2897.78,497.0,2026-07-18
2026-07-14,2316.9,99924,1414,55.0,3264.48,563.0,2026-07-18
2026-07-15,2366.6,112438,1450,44.0,2413.83,553.0,2026-07-18
2026-07-16,2522.09,131737,1727,36.0,2122.18,681.0,2026-07-18
2026-07-17,2577.89,138014,1815,41.0,2648.08,678.0,2026-07-18
