date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-07-09,2089.03,85023,1052,39.0,2042.99,360.0,2026-07-23
2026-07-10,1848.63,73342,915,38.0,2241.77,358.0,2026-07-23
2026-07-11,2208.5,94010,1106,27.0,1979.86,370.0,2026-07-23
2026-07-12,2395.22,81895,1240,42.0,2361.45,505.0,2026-07-23
2026-07-13,2369.43,91578,1298,48.0,2897.78,497.0,2026-07-23
2026-07-14,2316.9,99924,1414,55.0,3264.48,563.0,2026-07-23
2026-07-15,2366.6,112438,1450,44.0,2413.83,553.0,2026-07-23
2026-07-16,2522.11,131741,1727,36.0,2122.18,681.0,2026-07-23
2026-07-17,2593.01,138780,1826,41.0,2648.08,685.0,2026-07-23
2026-07-18,2413.17,136720,1783,39.0,2612.13,637.0,2026-07-23
2026-07-19,2425.1,122472,1642,42.0,2708.23,640.0,2026-07-23
2026-07-20,2327.23,126399,1642,39.0,2295.07,596.0,2026-07-23
2026-07-21,2453.09,131621,1701,50.0,3408.97,606.0,2026-07-23
2026-07-22,2452.15,126722,1538,30.0,1875.71,509.0,2026-07-23
